recording,date,time,temperature,humidity,pressure,lux,oxidizing,reducing,nh3,noise_amp,pm1_0,pm2_5,pm_10
recording_2,09/12/22,21:32:23,72.64755270282853,44.08420348617985,1000.2791163421592,3247.018,22646.664538780722,5232.604373757455,2729.591228697414,0.0,10.0,17.0,19.0
recording_2,09/12/22,21:32:25,96.56835113927002,43.988550188671546,1000.2840743750953,3007.4943,1172.6898311967052,278896.3642541624,4451.422963689892,0.0,10.0,17.0,19.0
recording_2,09/12/22,21:32:27,96.65080174118775,44.00060978653571,1000.2786772485337,3121.57805,1195.9145775301765,402845.4376163876,8481.517827935886,0.0,10.0,17.0,19.0
recording_2,09/12/22,21:32:29,96.73950726439892,44.09645844813599,1000.2768642091618,3136.0546,1242.4207224997097,476468.935710427,11743.487524915803,0.0,8.0,16.0,17.0
recording_2,09/12/22,21:32:30,96.84299710442066,44.252183976931,1000.2837378956604,3139.1161,1295.6632949657019,520711.52720889455,14789.341377576673,0.0,8.0,16.0,17.0
recording_2,09/12/22,21:32:32,96.95558502934058,43.83334897594471,1000.2866658160934,3055.16815,1342.3318594368163,549777.5046097111,17344.247655901177,0.0,8.0,16.0,17.0
recording_2,09/12/22,21:32:34,97.04770248212881,43.78553588954672,1000.2966013436472,3127.79235,1389.0765110050077,568588.086185045,19768.757687576875,0.0,8.0,15.0,18.0
recording_2,09/12/22,21:32:35,97.13470234796328,43.731708005798254,1000.3053698485878,3115.91525,1429.2040554713903,581516.1707632602,21722.577083826196,0.0,8.0,15.0,18.0
recording_2,09/12/22,21:32:37,97.25923165104368,43.70186041167381,1000.30168978189,3081.5941,1466.0369657745905,601066.6666666666,23825.0587187171,0.0,8.0,15.0,18.0
recording_2,09/12/22,21:32:39,97.31154536015183,43.81566028248158,1000.296546316156,3046.3317,1496.2081437405204,617224.0437158475,25711.159011772514,0.0,9.0,17.0,21.0
recording_2,09/12/22,21:32:41,97.28652575798262,43.983282531470735,1000.2833090253445,3051.9375,1526.4110196696436,627021.4830214829,27575.002119901637,0.0,9.0,17.0,21.0
recording_2,09/12/22,21:32:42,97.22227088874581,43.76169352631059,1000.2690262615719,3155.5989,1556.6456435412288,633713.0860741779,29399.87869335413,0.0,9.0,17.0,21.0
recording_2,09/12/22,21:32:44,97.21146697524559,43.6179775309668,1000.2636063228418,3013.7239,1583.547557840617,638084.5070422539,30982.614067602157,0.0,8.0,17.0,22.0
recording_2,09/12/22,21:32:46,97.20350619734971,43.61199941492926,1000.2688253097248,2971.8783,1607.1073703898533,632749.1264849757,32141.656233231988,0.0,8.0,17.0,22.0
recording_2,09/12/22,21:32:47,97.27401595838367,43.54017929270812,1000.2744311783093,2890.73695,1627.3168449979537,633230.7692307694,33267.27651480844,0.0,8.0,17.0,22.0
recording_2,09/12/22,21:32:49,97.3308786918142,43.25870320357764,1000.2827056756239,3083.1763,1647.5405041820204,642016.9971671392,34355.702236890356,0.0,9.0,18.0,23.0
recording_2,09/12/22,21:32:51,97.30983947805989,43.288646267555656,1000.2975348565336,3182.37475,1667.7783628810487,644995.7325746805,35513.46332404828,0.0,9.0,18.0,23.0
recording_2,09/12/22,21:32:52,97.21317285627546,43.03710268126543,1000.2946351856247,3197.5168,1688.0304360550192,650523.2974910402,36762.352941176476,0.0,10.0,19.0,24.0
recording_2,09/12/22,21:32:54,97.13868273512782,43.282629644494776,1000.2829822291685,3256.9176,1704.9180327868853,651537.6884422118,37974.06559877956,0.0,9.0,18.0,23.0
recording_2,09/12/22,21:32:56,97.19668267375819,43.19281259513043,1000.2850626990017,2865.39685,1721.8155197657395,651030.1291248214,38933.53881718359,0.0,9.0,18.0,23.0
recording_2,09/12/22,21:32:58,97.29391791275663,43.33057310421736,1000.2901204347299,3063.75945,1735.3406361665986,646995.72039943,39680.03106494515,0.0,9.0,18.0,23.0
recording_2,09/12/22,21:32:59,97.38831007335067,43.174852025576556,1000.2920170098171,3218.1942,1745.4886337004923,643503.1937544362,40325.25410476935,0.0,9.0,17.0,22.0
recording_2,09/12/22,21:33:01,97.48895719827111,42.575720770519496,1000.2941997719607,3407.72405,1762.4098927503956,648503.2165832744,41275.9573628109,0.0,9.0,17.0,22.0
recording_2,09/12/22,21:33:03,97.49862387466052,42.73150585911913,1000.3000959274033,3296.2759,1775.9540418547394,647497.5017844404,42020.88513177524,0.0,9.0,17.0,22.0
recording_2,09/12/22,21:33:04,97.54809452191112,42.611613547082584,1000.2981301977455,3173.4618,1789.5045441219584,647497.5017844404,42757.51503006012,0.0,8.0,16.0,20.0
recording_2,09/12/22,21:33:06,97.62883974954602,43.02505328873452,1000.2992798513251,3128.1098,1799.671592775041,644497.5124378115,43144.955235891764,0.0,8.0,16.0,20.0
recording_2,09/12/22,21:33:08,97.73801646097681,42.63546285781441,1000.3047689133214,2314.61135,1809.8422194850139,650523.2974910402,43989.854925433705,0.0,8.0,16.0,20.0
recording_2,09/12/22,21:33:09,97.79544799049803,43.21679982731789,1000.3097476256237,1964.61875,1816.6246260339062,639063.4696755997,44366.598778004074,0.0,9.0,16.0,20.0
recording_2,09/12/22,21:33:11,97.77611460199176,42.767320993302484,1000.3132851304398,1875.1943,1830.194214633574,654598.4138428272,45482.70181219111,0.0,10.0,17.0,21.0
recording_2,09/12/22,21:33:13,97.78293815060621,42.46761136374733,1000.3288915285948,2995.4726,1843.770174306004,657169.3198263396,46421.28234438325,0.0,10.0,17.0,21.0
